word,appearances
alice,141
went,80
into,66
mock,56
quite,50
began,47
looked,45
never,41
must,41
herself,40
off,40
queen,37
such,36
turtle,35
rabbit,34
thought,33
head,32
large,32
king,32
march,32
heard,29
put,29
i'm,28
white,28
might,28
hatter,27
can't,27
found,27
seemed,27
poor,26
mouse,25
looking,25
upon,25
going,24
last,24
dormouse,24
took,23
gryphon,23
felt,23
soon,23
itand,23
things,22
rather,22
moment,22
once,22
another,21
nothing,21
shall,21
next,21
wish,21
voice,20
eyes,20
it's,20
itsaid,19
without,19
again,19
door,19
getting,19
hare,18
tried,18
aliceand,18
sort,18
minute,17
sure,17
caterpillar,17
duchess,17
ever,16
doesn't,16
curious,16
till,16
turned,16
sat,16
anything,16
eat,16
gave,15
cat,15
wonder,15
you're,15
even,14
end,14
away,14
againand,14
hear,14
half,14
being,14
replied,14
idea,14
called,14
something,14
i've,14
talking,13
seen,13
anxiously,13
near,13
hand,13
left,13
grow,13
saw,13
used,13
knew,13
ought,13
ran,12
kept,12
jury,12
remember,12
course,12
behind,12
hardly,12
tea,12
beginning,12
close,12
whole,12
both,12
dodo,11
better,11
queer,11
tone,11
deal,11
people,11
everything,11
didn't,11
waited,11
among,11
enough,11
wasn't,11
glad,11
always,11
feet,11
wouldn't,11
added,11
try,11
makes,11
words,11
best,10
speak,10
youwon't,10
talk,10
still,10
hurried,10
nearly,10
having,10
fan,10
i'll,10
footman,10
done,10
else,10
walked,10
shook,9
yet,9
cook,9
join,9
soldiers,9
opened,9
couldn't,9
those,9
rest,9
cats,9
sitting,9
far,9
small,9
suddenly,9
that's,9
help,9
baby,9
themand,9
few,9
yousaid,9
won't,9
arm,9
face,9
table,9
alice's,9
against,9
party,9
own,9
whether,9
minutes,9
matter,8
saying,8
explain,8
opportunity,8
certainly,8
change,8
making,8
mad,8
birds,8
room,8
bright,8
read,8
pool,8
alicei,8
followed,8
offended,8
house,8
hard,8
really,8
reason,8
top,8
feel,8
total unique words,5253
